"FID BKG SVC LLC  MONEYLINE,Transfer"
"AVI ZIMMER BIOMET WEST WARS,Restaurants"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"Deposit - CAPGEMINI AMERICDIRECT DEP190131,Paycheck"
"YOU BOUGHT FACT SHEET TO FOLLOW,Buy"
"BENEFIT          PAYMENT,Interest Income"
"INTEREST EARNED,Interest Income"
"INTEREST,Interest Income"
"INTEREST PAYMENT,Interest Income"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"THE HOME DEPOT #2009 FORT WAYNE,Home Improvement"
"PANDA EXPRESS #1869 FORT WAYNE I,Fast Food"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"BURLNGTON STORES872 FORT WAYNE I,Clothing"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"QuickPay with Zelle payment to H,Mobile Phone"
"BENEFIT          PAYMENT,Interest Income"
"QuickPay with Zelle payment to S,Entertainment"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"ZIMMER INC PAYROLL,Paycheck"
"INTEREST PAYMENT,Interest Income"
"QuickPay with Zelle payment to R,Party & Farewell"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"AUNTIE ANNE'S IN102 FT WAYNE IN,Fast Food"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"AEP              ONLINE PMT,Electricity"
"BP#8674558RICKERS #55 FORT WAYNE,Gas"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"Deposit - CAPGEMINI AMERICDIRECT DEP190215,Paycheck"
"FID BKG SVC LLC  MONEYLINE,Transfer"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"AVI ZIMMER BIOMET WEST WARS,Restaurants"
"SALSA GRILLE - YMCA FORT WAYNE I,Health & Fitness"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"DUNKIN #347963 FORT WAYNE IN,Fast Food"
"CTS*FRONTIER ONLINEPAY 800-,Internet"
"SPEEDWAY 05166 STE FORT WAYNE IN,Gas"
"ALDI 44057 FORT WAYNE IN,Groceries"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"YOU BOUGHT FACT SHEET TO FOLLOW,Buy"
"MARATHON PETRO255471 FORT WAYNE,Gas"
"Withdrawal - HONDA PMT       8005426632B19050,Auto Payment"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"ZIMMER INC PAYROLL,Paycheck"
"Cash Redemption,Transfer"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"SCIENCE CENTRAL FORT WAYNE IN,Amusement"
"SCOTT'S #405 FT WAYNE IN,Groceries"
"BENEFIT          PAYMENT,Reimbursement"
"MARATHON PETRO255471 FORT WAYNE,Gas"
"Deposit - CAPGEMINI AMERICDIRECT DEP190228,Paycheck"
"SPEEDWAY 05505 COL FORT WAYNE IN,Gas"
"Withdrawal - Canterbury GreenWEB PMTS  022819,Mortgage & Rent"
"INTEREST EARNED,Interest Income"
"INTEREST,Interest Income"
"INTEREST PAYMENT,Interest Income"
"QuickPay with Zelle payment to H,Mobile Phone"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"GOODYEAR 6729 FT WAYNE IN,Service & Parts"
"KROGER #973 FT WAYNE IN,Groceries"
"SALSA GRILLE - YMCA FORT WAYNE I,Fast Food"
"LUFTHANSA0000000000146 NEW,Air Travel"
"PANDA EXPRESS #1869 FORT WAYNE I,Fast Food"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Fast Food"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"THE HOME DEPOT #2009 FORT WAYNE,Home Improvement"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SPEEDWAY 05505 COL FORT WAYNE IN,Gas"
"SAINT JOSEPH UMC 260-485-9681 IN,Day Care"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Fast Food"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"SAMS CLUB - #6313 FORT WAYNE IN,Food & Dining"
"ZIMMER INC PAYROLL,Paycheck"
"DOLLAR TREE FORT WAYNE IN,Home Supplies"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"HARBOR FREIGHT TOOLS 111 FORT WA,Home Improvement"
"FRESH THYME #203 FORT WA FORT WA,Groceries"
"ZIMMER INC PAYROLL,Paycheck"
"BURGER KING #5397 WARSAW IN,Fast Food"
"BURGER KING #5397 WARSAW IN,Fast Food"
"SPEEDWAY 06139 212 PIERCETON IN,Gas"
"AEP              ONLINE PMT,Electricity"
"INTEREST PAYMENT,Interest Income"
"Deposit - CAPGEMINI AMERICDIRECT DEP190315,Paycheck"
"FID BKG SVC LLC  MONEYLINE,Transfer"
"SPEEDWAY 05505 COL FORT WAYNE IN,Gas"
"SAINT JOSEPH UMC 260-485-9681 IN,Day Care"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"JCPENNEY 1972 FORT WAYNE IN,Clothing"
"MARATHON PETRO117036 FORT WAYNE,Gas"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"PANDA EXPRESS #1869 FORT WAYNE I,Fast Food"
"USPS KIOSK 1729229550 FORT WAYNE,Office Supplies"
"PANDA EXPRESS #1869 FORT WAYNE I,Fast Food"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"IRS              USATAXPYMT,Federal Tax"
"CTS*FRONTIER ONLINEPAY 800-,Internet"
"MARATHON PETRO158840   LARW,Gas"
"ACH Deposit From JPMORGAN CHASE BANK, NA,Paycheck"
"SUBWAY 00362517255 FORT WAYNE IN,Fast Food"
"WAL-MART SC - #1419 FORT WAYNE I,Toys"
"WAL-MART SC - #1419 FORT WAYNE I,Party & Farewell"
"Withdrawal - HONDA PMT       8005426632B19078,Auto Payment"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Fast Food"
"SAINT JOSEPH UMC 260-485-9681 IN,Day Care"
"CASHBACK BONUS REDEMPTION PYMT/S,Bonus"
"ZIMMER INC PAYROLL,Paycheck"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"DON AYRES HONDA FORT WAYNE IN,Service & Parts"
"HINDU TEMPLE OF CNTRL IN INDIANA,Fast Food"
"BP#8674558RICKERS #55 FORT WAYNE,Gas"
"DOLLAR GENERAL15525 FORT WAYNE I,Groceries"
"HINDU TEMPLE INDIANAPOLIS IN,Divine and Donations"
"HINDU TEMPLE OF CNTRL IN INDIANA,Fast Food"
"PATEL BROTHERS CASTLETON IN,Groceries"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Fast Food"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"Deposit - CAPGEMINI AMERICDIRECT DEP190329,Paycheck"
"BENEFIT          PAYMENT,Pay Benefits"
"AF*PROPERTY MANAGEMEN. 866-648-1,Home"
"Withdrawal - Canterbury GreenWEB PMTS  032919,Mortgage & Rent"
"INTEREST EARNED,Interest Income"
"INTEREST PAYMENT,Interest Income"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"Interest Paid,Interest Income"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"SCOTT'S #405           FT W,Fast Food"
"SAMS CLUB #6313        FORT,Service & Parts"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"GOSSIP SPA BOUTIQUE FORT WAYNE I,Personal Care"
"SAINT JOSEPH UMC 260-485-9681 IN,Day Care"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"ALDI 44057 FORT WAYNE IN,Fast Food"
"INTEREST as of 03/31/2019,Income"
"ACH Deposit From DIGITAL FCU,Paycheck"
"ACH Deposit From JPMORGAN CHASE BANK, NA,Paycheck"
"4257 AMC FT WAYNE 20 FT. WAYNE I,Movies & DVDs"
"AMERICAN AIRLINES BELLEVUE WA,Business Services"
"EGENFEE* 866-397-2677 WA,Business Services"
"DOR IT40         INTAX,Taxes"
"Account Promotion,Bonus"
"AVI ZIMMER BIOMET WEST WARS,Restaurants"
"MARATHON PETRO175182   WARS,Gas"
"MARATHON PETRO175182   WARS,Fast Food"
"ZIMMER INC PAYROLL,Paycheck"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"PANDA EXPRESS #1869 FORT WAYNE I,Fast Food"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"EGENCIA*27209881898 866-397-267,Business Services"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"LYFT *RIDE THU 8PM SAN FRANCISC,Business Services"
"AEP              ONLINE PMT,Electricity"
"BAAN THAI RESTAURANT   FORT,Restaurants"
"AMERICAN00106459628170 8004,Travel"
"INTEREST PAYMENT,Interest Income"
"Deposit - CAPGEMINI AMERICDIRECT DEP190415,Paycheck"
"LYFT *RIDE THU 8PM SAN FRANCISC,Business Services"
"AVIS RENT A CAR PHILADELPHIA PA,Business Services"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"VERA BRADLEY ROANOKE IN,Clothing"
"SP * BAEKGAARD USA FORT WAYNE IN,Books & Supplies"
"VERA BRADLEY ROANOKE IN,Clothing"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"QuickPay with Zelle payment to H,Mobile Phone"
"CTS*FRONTIER ONLINEPAY 800-,Internet"
"ATM WITHDRAWAL,Cash Expenses"
"PATEL BROTHERS OF SCHA SCHA,Groceries"
"LOT D PAY ON FOOT      CHIC,Parking"
"GODAVARI               SCHA,Restaurants"
"PRIDE CITGO WARSAW     WARS,Gas"
"BURGER KING #5397 WARSAW IN,Fast Food"
"FORT WAYNE HALAL MARKE FORT,Groceries"
"ZIMMER INC PAYROLL,Paycheck"
"JCPENNEY 1972 FORT WAYNE IN,Clothing"
"USPS PO 1729210904 FORT WAYNE IN,Misc"
"MEIJER INC #124    Q01 FORT,Groceries"
"Withdrawal - HONDA PMT       8005426632B19109,Auto Payment"
"MARATHON PETRO180182FORT WAYNE,Gas"
"MARATHON PETRO57034 WARSAW IN,Gas"
"APPFOLIO    *PROPERTY  8666,Rent & Utilities"
"SPEEDWAY 05505 COL     FORT,Gas"
"SAINT JOSEPH UMC 260-485-9681 IN,Day Care"
"Other check# 146,Misc"
"Deposit - ONLINE DEPOSIT: REF # 52064629,Reimbursement"
"KROGER #973            FT W,Groceries"
"FORT WAYNE HALAL MARKE FORT,Groceries"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"Deposit - CAPGEMINI AMERICDIRECT DEP190430,Paycheck"
"ESHIPGLOBAL INC 800-816-1615 TX,USCIS"
"Withdrawal - Canterbury GreenWEB PMTS  043019,Mortgage & Rent"
"INTEREST EARNED,Interest Income"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"INTEREST PAYMENT,Interest Income"
"CHECK OR SUPPLY  ORDER,Banking Fee"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"Interest Paid,Interest Income"
"Interest Paid,Interest Income"
"IN BMV FT WAYNE PI FORT WAYNE IN,Registration"
"DON AYRES HONDA FORT WAYNE IN,Service & Parts"
"QuickPay with Zelle payment to H,Mobile Phone"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"WAL-MART SUPERCENTERFORT WAYNE,Groceries"
"ZIMMER INC PAYROLL,Paycheck"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"USCIS (PHOENIX LOCKBOX) WASHINGT,USCIS"
"PANDA EXPRESS #1869 FORT WAYNE I,Fast Food"
"THE HOME DEPOT #2009 FORT WAYNE,Home Improvement"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"DOLLAR TREE FORT WAYNE IN,Home Services"
"Deposit - FID BKG SVC LLC MONEYLINE 190506,Transfer"
"KROGER #2973 FT WAYNE IN,Gas"
"AEP              ONLINE PMT,Electricity"
"KROGER #973 FT WAYNE IN,Groceries"
"WWW COSTCO COM 800-955-2292 WA,Groceries"
"U-HAUL MOVING & STORAGE FORT WAY,Home Services"
"BP#8674616COLISEUM PETRO FORT WA,Fast Food"
"DOLLAR GENERAL15525 FORT WAYNE I,Shopping"
"COSTCO GAS #1161 FT WAYNE IN,Gas"
"INTEREST PAYMENT,Interest Income"
"Deposit - CAPGEMINI AMERICDIRECT DEP190515,Paycheck"
"MARATHON PETRO255471 FORT WAYNE,Gas"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"BURGER KING #5397 WARSAW IN,Fast Food"
"SQ *FAMILYGUARD, LLC WARSAW IN,Home Services"
"CHECK 101,Mortgage & Rent"
"QuickPay with Zelle payment to R,Party & Farewell"
"KROGER #973 FT WAYNE IN,Groceries"
"KROGER #973 FT WAYNE IN,Groceries"
"ZIMMER INC PAYROLL,Paycheck"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"CTS*FRONTIER ONLINEPAY 800-,Internet"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"FORT WAYNE CHILDRENS Z FORT WAYN,Amusement"
"SSA FT WAYNE CHILDRENS Z FORT WA,Snacks"
"COSTCO GAS #1161,Gas"
"COSTCO WHSE #1161,Groceries"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"AVI ZIMMER BIOMET WEST WARS,Restaurants"
"Withdrawal - HONDA PMT       8005426632B19140,Auto Payment"
"AVI ZIMMER BIOMET WEST WARS,Restaurants"
"DOMESTIC WIRE FEE,Banking Fee"
"DOMESTIC WIRE TRANSFER VIA: COME,Mortgage & Rent"
"AVI ZIMMER BIOMET WEST WARS,Restaurants"
"SPEEDWAY 05166 STE FORT WAYNE IN,Gas"
"Deposit - ONLINE DEPOSIT: REF # 52232085,Income"
"CASHBACK BONUS REDEMPTION PYMT/S,Bonus"
"COMCAST CHICAGO CS 1X 800-266-22,Internet"
"MARATHON PETRO255471 FORT WAYNE,Gas"
"USPS.COM MOVER'S GUIDE XXX-X38-3,Shipping"
"BURGER KING #5397 WARSAW IN,Fast Food"
"THE HOME DEPOT #2009 FORT WAYNE,Home Improvement"
"PATEL BROTHERS OF INDIAN INDIANA,Groceries"
"PATEL BROTHERS OF INDIAN INDIANA,Groceries"
"PATEL BROTHERS OF INDIAN INDIANA,Groceries"
"IKEA FISHERS RESTAURANT,Furnishings"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"HARBOR FREIGHT TOOLS 111 FORT WA,Home Improvement"
"INDIA SIZZLING II INDIANAPOLIS I,Restaurants"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"COSTCO GAS #1161,Gas"
"COSTCO WHSE #1161,Groceries"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"ALDI 44057 FORT WAYNE IN,Home Services"
"MEIJER # 124 FORT WAYNE IN,Home Services"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"Deposit - CAPGEMINI AMERICDIRECT DEP190531,Paycheck"
"COSTCO GAS #1161,Gas"
"INTEREST EARNED,Interest Income"
"INTEREST PAYMENT,Interest Income"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"Interest Paid,Interest Income"
"Interest Paid,Interest Income"
"ZIMMER INC PAYROLL,Paycheck"
"U-HAUL MOVING & STORAGE 800-789-,Home Services"
"GEICO *AUTO MACON DC,Auto Insurance"
"HARBOR FREIGHT TOOLS 111 FORT WA,Home Improvement"
"THE HOME DEPOT #2009 FORT WAYNE,Home Improvement"
"THE HOME DEPOT #2009 FORT WAYNE,Home Improvement"
"PHIL#S ONE STOP 13 FORT WAYNE IN,Auto & Transport"
"PANDA EXPRESS #1869 FORT WAYNE I,Restaurants"
"THE HOME DEPOT #2009   FORT,Home Improvement"
"LOWE'S OF WARSAW, IN WARSAW IN,Home Improvement"
"COSTCO GAS #1161,Gas"
"COSTCO WHSE #1161,Restaurants"
"COSTCO GAS #1161,Gas"
"COSTCO WHSE #1161,Restaurants"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"KROGER #973 FT WAYNE IN,Groceries"
"QuickPay with Zelle payment to H,Mobile Phone"
"Withdrawal - Canterbury GreenWEB PMTS  060319,Mortgage & Rent"
"USPS PO XXXXXX0905 FORT WAYNE IN,Shipping"
"MURPHY6726ATWALMART WARSAW IN,Gas"
"WAL-MART SC - #1304 WARSAW IN,Groceries"
"LOWE'S OF WARSAW, IN WARSAW IN,Home Improvement"
"GEICO *AUTO MACON DC,Auto Insurance"
"COSTCO GAS #1161,Gas"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"USPS.COM MOVER'S GUIDE XXX-X38-3,Shipping"
"WAL-MART SUPERCENTERWARSAW IN,Groceries"
"JCPENNEY 1972 FORT WAYNE IN,Clothing"
"JCPENNEY 1972 FORT WAYNE IN,Clothing"
"JCPENNEY 1972          FORT,Clothing"
"COSTCO GAS #1161,Gas"
"COSTCO WHSE #1161,Restaurants"
"LN BUYCRASH/CCDW/ORPBOCA RATON,Service & Parts"
"MURPHY6726ATWALMART WARSAW IN,Lawn & Garden"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"MENARDS WARSAW IN 00WARSAW IN,Home Services"
"WAL-MART SC - #1419 FORT WAYNE I,Groceries"
"INTEREST PAYMENT,Interest Income"
"MEDPRO XXXXXXX0937 FORT WAYNE IN,Restaurants"
"PAYPAL           INST XFER  BLVD,Service & Parts"
"PAYPAL *JLINGHUI 4029357733 HK,Service & Parts"
"QuickPay with Zelle payment to H,Mobile Phone"
"Deposit - CAPGEMINI AMERICDIRECT DEP190614,Paycheck"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"WAL-MART SC - #1804 FORT WAYNE I,Groceries"
"GERBER COLLISION & GLASS FORT WA,Auto Insurance"
"KROGER #973 FT WAYNE IN,Groceries"
"ZIMMER INC PAYROLL,Paycheck"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"WAL-MART SC - #1304 WARSAW IN,Groceries"
"LOWE'S OF WARSAW, IN WARSAW IN,Home Improvement"
"COSTCO GAS #1161,Gas"
"ARBYS #1201 FORT WAYNE FORT WAYN,Restaurants"
"MEMBERSHIP FEE JUN 19-MAY 2,Fees & Charges"
"COSTCO GAS #1161,Gas"
"COSTCO WHSE #1161,Groceries"
"MEIJER # 267 WARSAW IN,Groceries"
"Withdrawal - HONDA PMT       8005426632B19170,Auto Payment"
"AMER ELECT PWR   CPPWDRAWAL 0485,Electricity"
"COSTCO GAS #1161,Gas"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"ALDI 62038 WARSAW IN,Groceries"
"MENARDS WARSAW IN 00WARSAW IN,Home Improvement"
"WALMART.COM 8009666546 AR,Groceries"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"MARTIN'S SUPER MARKE WARSAW IN,Groceries"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"NIPSCO           UTIL PYMT  3312,Utilities"
"QuickPay with Zelle payment to S,Restaurants"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Gas"
"WALMART.COM 8009666546 AR,Groceries"
"WALMART.COM 8009666546 AR,Groceries"
"Deposit - CAPGEMINI AMERICDIRECT DEP190628,Paycheck"
"ZIMMER INC PAYROLL,Paycheck"
"PAYPAL           TRANSFER,Bonus"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"MARATHON PETRO57034 WARSAW IN,Gas"
"Withdrawal - CENLAR LOAN ADM 1 TIME DFT062719,Mortgage & Rent"
"IN BMV WARSAW 448 5WARSAW IN,BMV"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"ALDI 62038 WARSAW IN,Groceries"
"JAMISON MEATS INC - AN FORT WAYN,Groceries"
"MARTIN'S SUPER MARKE WARSAW IN,Groceries"
"DISCOVER         E-PAYMENT  6252,Credit Card Payment"
"Withdrawal - AMEX EPAYMENT   ACH PMT   190701,Credit Card Payment"
"COX & KINGS GLOBAL SVC 404314798,USCIS"
"CVS/PHARMACY #06737 FORT WAYNE I,Groceries"
"R GOVINDARAJAN RECEIVER,Transfer"
"COSTCO GAS #1161,Gas"
"SPEEDWAY 06684 WAN WANATAH IN,Gas"
"ALDI 62038 WARSAW IN,Groceries"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"IKEA BOLINGBROOK BOLINGBROOK IL,Furnishings"
"SP * SRI VENKATESWARA AURORA IL,Snacks"
"GODAVARI NAPERVILLE IL,Restaurants"
"PATEL BROTHERS NAPERVILLE IL,Groceries"
"IN BMV WARSAW 448 WARSAW IN,BMV"
"Online Transfer 8411242698 to TM,Transfer"
"1ST SOURCE BANK  POPMONEY   1ST,Transfer"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"MENARDS WARSAW IN WARSAW IN,Home Improvement"
"GEICO *AUTO MACON DC,Auto Insurance"
"ONLINE PAYMENT, THANK YOU,Credit Card Payment"
"QuickPay with Zelle payment from,Transfer"
"DISCOVER BANK NET/MOBILE,Transfer"
"CITI CARD ONLINE PAYMENT    1630,Credit Card Payment"
"WAL-MART #5025 FORT WAYNE IN,Groceries"
"ZIMMER INC PAYROLL,Paycheck"
"INTEREST PAYMENT,Interest Income"
"Deposit - CAPGEMINI AMERICDIRECT DEP190715,Paycheck"
"SUNOCO 0155648900 PIERCETON IN,Gas"
"BWW 3196 FORT WAYNE FORT WAYNE I,Restaurants"
"COSTCO GAS #1161,Gas"
"WAL-MART #1425 COLUMBIA CITYIN,Groceries"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"MARTIN'S SUPER MARKE WARSAW IN,Groceries"
"ALDI 62038 WARSAW IN,Groceries"
"Deposit - ONLINE DEPOSIT: REF # 52529893,Income"
"BA ELECTRONIC PAYMENT,Credit Card Payment"
"Electronic Payment / GOVINDARA ZELLE 070608010902,Transfer"
"CTS*FRONTIER ONLINEPAY XXX-X21-8,Internet"
"Online Transfer 8441177569 to DC,Transfer"
"QuickPay with Zelle payment from,Transfer"
"Payment Received - Thank You!,Credit Card Payment"
"Electronic Payment / GOVINDARA ZELLE 071402000635,Transfer"
"COSTCO GAS #1161,Gas"
"BK OF AMER MC    ONLINE PMT CKF0,Credit Card Payment"
"Online Transfer 8444761140 to DC,Transfer"
"QuickPay with Zelle payment from,Transfer"
"Deposit - JPMorgan Chase  EXT TRNSFR190719,Transfer"
"DON AYRES HONDA FORT WAYNE IN,Service & Parts"
"CAPITAL ONE N.A. CAPITALONE,Transfer"
"ATM WITHDRAWAL,Transfer"
"Deposit - JPMorgan Chase  EXT TRNSFR190722,Transfer"
"MEIJER # 267 WARSAW IN,Groceries"
"COSTCO GAS #1161,Gas"
"AMERICAN EXPRESS ACH PMT    W739,Credit Card Payment"
"ONLINE PAYMENT - THANK YOU,Credit Card Payment"
"Withdrawal - HONDA PMT       8005426632B19200,Auto Payment"
"KROGER #973 FT WAYNE IN,Groceries"
"Electronic Payment / GOVINDARA ZELLE 083444004604,Transfer"
"COSTCO GAS #1161,Gas"
"QuickPay with Zelle payment from,Transfer"
"MARATHON PETRO57034 WARSAW IN,Fast Food"
"COX & KINGS GLOBAL SVC 404314798,USCIS"
"COX & KINGS GLOBAL SVC 404314798,USCIS"
"ZIMMER INC PAYROLL,Paycheck"
"FUN CENTER AT PAIGES COLUMBIA CI,Amusement"
"COSTCO GAS #1161,Gas"
